0
                    Filename,  Orb_st Orb_end,         Start_time,           End_time, Status_flag,    Npackets, Drift_start,   Drift_end, Data source,
hsi_20051003_012800_002.fits   20025   20026 03-Oct-05 01:28:00 03-Oct-05 01:39:20           1        5237      -1.297      -1.297                                                 Spacecraft:vc3_20051003024901.0
"hsi_20051003_013920_003.fits   20026   20027 03-Oct-05 01:39:20 03-Oct-05 03:02:20           1       99594      -1.297      -1.297                            Spacecraft:vc1_20051003182147.0,vc3_20051003182147.0"
"hsi_20051003_030220_003.fits   20026   20027 03-Oct-05 03:02:20 03-Oct-05 03:15:20           1       10013      -1.297      -1.297                            Spacecraft:vc1_20051003182147.0,vc3_20051003182147.0"
"hsi_20051003_031520_002.fits   20027   20028 03-Oct-05 03:15:20 03-Oct-05 04:40:00           1       99761      -1.297      -1.297                            Spacecraft:vc1_20051003182147.0,vc3_20051003182147.0"
"hsi_20051003_044000_002.fits   20027   20028 03-Oct-05 04:40:00 03-Oct-05 04:51:20           1       10651      -1.297      -1.297                            Spacecraft:vc1_20051003182147.0,vc3_20051003182147.0"
"hsi_20051003_045120_001.fits   20028   20029 03-Oct-05 04:51:20 03-Oct-05 06:20:00           1       99702      -1.297      -1.297                            Spacecraft:vc1_20051003182147.0,vc3_20051003182147.0"
"hsi_20051003_062000_001.fits   20028   20029 03-Oct-05 06:20:00 03-Oct-05 06:27:20           1        6825      -1.297      -1.297                            Spacecraft:vc1_20051003182147.0,vc3_20051003182147.0"
"hsi_20051003_062720_001.fits   20029   20030 03-Oct-05 06:27:20 03-Oct-05 07:51:40           1       99902      -1.297      -1.298                            Spacecraft:vc1_20051003182147.0,vc3_20051003182147.0"
"hsi_20051003_075140_001.fits   20029   20030 03-Oct-05 07:51:40 03-Oct-05 08:03:20           1       10765      -1.298      -1.298                            Spacecraft:vc1_20051003182147.0,vc3_20051003182147.0"
"hsi_20051003_080320_000.fits   20030   20031 03-Oct-05 08:03:20 03-Oct-05 09:18:20           1       99507      -1.298      -1.298                            Spacecraft:vc1_20051003182147.0,vc3_20051003182147.0"
"hsi_20051003_091820_000.fits   20030   20031 03-Oct-05 09:18:20 03-Oct-05 09:39:00           1       24570      -1.298      -1.298                            Spacecraft:vc1_20051003182147.0,vc3_20051003182147.0"
hsi_20051003_093900_001.fits   20031   20032 03-Oct-05 09:39:00 03-Oct-05 10:58:40           1       99561      -1.298      -1.298                                                 Spacecraft:vc3_20051003200137.0
hsi_20051003_105840_001.fits   20031   20032 03-Oct-05 10:58:40 03-Oct-05 11:15:00           1       17105      -1.298      -1.298                                                 Spacecraft:vc3_20051003200137.0
"hsi_20051003_111500_002.fits   20032   20033 03-Oct-05 11:15:00 03-Oct-05 12:33:20           1       99971      -1.298      -1.298                            Spacecraft:vc1_20051003214252.0,vc3_20051003214252.0"
